Order ID,Order Date,Region,Category,Sales,Profit,Month-Year
37,2024-01-05,West,Office Supplies,160.46,32.19,2024-01
38,2024-01-05,Central,Office Supplies,109.69,15.61,2024-01
39,2024-01-05,West,Furniture,243.25,47.93,2024-01
40,2024-01-06,Central,Furniture,230.45,49.71,2024-01
41,2024-01-06,East,Technology,466.25,82.23,2024-01
42,2024-01-06,South,Technology,281.45,29.34,2024-01
43,2024-01-06,South,Furniture,268.73,31.63,2024-01
44,2024-01-06,South,Office Supplies,82.88,15.56,2024-01
45,2024-01-06,Central,Technology,408.15,50.14,2024-01
46,2024-01-06,South,Office Supplies,165.49,38.51,2024-01
47,2024-01-06,West,Furniture,295.07,60.69,2024-01
48,2024-01-06,South,Technology,472.11,175.92,2024-01
49,2024-01-07,West,Office Supplies,148.82,14.79,2024-01
50,2024-01-07,East,Furniture,208.71,48.93,2024-01
51,2024-01-07,East,Office Supplies,89.96,19.25,2024-01
52,2024-01-07,Central,Furniture,253.99,37.44,2024-01
53,2024-01-07,West,Office Supplies,34.94,6.62,2024-01
54,2024-01-07,Central,Furniture,180.65,31.48,2024-01
55,2024-01-07,East,Technology,470.7,105.1,2024-01
56,2024-01-07,West,Furniture,208.44,30.71,2024-01
57,2024-01-07,West,Office Supplies,67.04,15.14,2024-01
58,2024-01-08,East,Furniture,229.23,62.72,2024-01
59,2024-01-08,East,Office Supplies,65.61,11.47,2024-01
60,2024-01-08,West,Office Supplies,184.81,45.49,2024-01
61,2024-01-08,East,Office Supplies,122.46,36.42,2024-01
62,2024-01-08,South,Office Supplies,111.5,20.41,2024-01
63,2024-01-08,Central,Technology,134.37,32.79,2024-01
64,2024-01-08,Central,Office Supplies,148.85,27.32,2024-01
65,2024-01-08,West,Technology,331.9,63.19,2024-01
66,2024-01-09,Central,Office Supplies,135.2,28.27,2024-01
67,2024-01-09,South,Furniture,298.28,43.1,2024-01
68,2024-01-09,South,Technology,149.73,17.81,2024-01
69,2024-01-09,Central,Furniture,385.88,60.98,2024-01
70,2024-01-09,Central,Furniture,251.06,56.88,2024-01
71,2024-01-10,West,Technology,413.58,86.75,2024-01
72,2024-01-10,Central,Office Supplies,77.75,9.27,2024-01
73,2024-01-10,Central,Technology,487.38,103.04,2024-01
74,2024-01-10,East,Office Supplies,123.18,18.0,2024-01
75,2024-01-10,West,Technology,284.43,46.63,2024-01
76,2024-01-10,East,Technology,284.89,54.75,2024-01
77,2024-01-11,East,Technology,197.27,21.63,2024-01
78,2024-01-11,South,Technology,299.42,50.7,2024-01
79,2024-01-11,Central,Office Supplies,156.02,26.84,2024-01
80,2024-01-11,East,Office Supplies,119.22,19.74,2024-01
81,2024-01-11,East,Furniture,278.24,38.57,2024-01
82,2024-01-12,South,Furniture,256.09,58.69,2024-01
83,2024-01-12,South,Furniture,291.44,53.25,2024-01
84,2024-01-12,West,Office Supplies,101.86,27.81,2024-01
85,2024-01-12,Central,Office Supplies,115.34,26.39,2024-01
86,2024-01-12,Central,Furniture,236.2,26.51,2024-01
87,2024-01-12,West,Office Supplies,39.67,7.86,2024-01
88,2024-01-12,South,Office Supplies,151.16,38.37,2024-01
89,2024-01-12,West,Technology,389.69,64.65,2024-01
90,2024-01-13,South,Technology,612.27,119.77,2024-01
91,2024-01-13,South,Technology,356.18,35.63,2024-01
92,2024-01-13,East,Technology,208.4,43.09,2024-01
93,2024-01-13,Central,Office Supplies,85.23,14.05,2024-01
94,2024-01-13,Central,Office Supplies,124.82,32.15,2024-01
95,2024-01-13,South,Office Supplies,163.12,30.72,2024-01
96,2024-01-13,West,Furniture,380.29,85.14,2024-01
97,2024-01-13,East,Furniture,98.55,24.86,2024-01
98,2024-01-13,West,Technology,428.02,30.58,2024-01
99,2024-01-13,Central,Office Supplies,161.22,31.69,2024-01
100,2024-01-13,South,Furniture,248.71,54.67,2024-01
101,2024-01-14,East,Furniture,153.64,31.4,2024-01
102,2024-01-14,West,Technology,687.71,112.81,2024-01
103,2024-01-14,East,Furniture,178.64,27.16,2024-01
104,2024-01-14,East,Furniture,124.52,21.22,2024-01
105,2024-01-14,West,Office Supplies,115.72,21.07,2024-01
106,2024-01-14,Central,Office Supplies,155.76,23.2,2024-01
107,2024-01-14,Central,Furniture,202.11,23.97,2024-01
108,2024-01-15,South,Office Supplies,79.16,14.56,2024-01
109,2024-01-15,West,Office Supplies,85.96,11.58,2024-01
110,2024-01-15,West,Furniture,157.14,23.14,2024-01
111,2024-01-15,West,Furniture,269.09,60.69,2024-01
112,2024-01-15,Central,Technology,277.64,49.93,2024-01
113,2024-01-15,West,Office Supplies,101.5,26.3,2024-01
114,2024-01-15,East,Furniture,372.13,42.62,2024-01
115,2024-01-16,East,Furniture,177.5,27.11,2024-01
116,2024-01-16,South,Furniture,31.01,6.64,2024-01
117,2024-01-16,South,Furniture,284.15,49.94,2024-01
118,2024-01-16,South,Technology,298.64,45.8,2024-01
119,2024-01-16,Central,Technology,686.06,179.05,2024-01
120,2024-01-16,West,Technology,320.96,41.69,2024-01
121,2024-01-16,West,Office Supplies,100.74,16.59,2024-01
122,2024-01-17,West,Furniture,338.05,51.1,2024-01
123,2024-01-17,West,Office Supplies,142.25,35.86,2024-01
124,2024-01-17,West,Office Supplies,144.24,24.5,2024-01
125,2024-01-17,South,Technology,451.96,67.7,2024-01
126,2024-01-17,South,Furniture,257.58,44.36,2024-01
127,2024-01-17,Central,Technology,447.26,71.3,2024-01
128,2024-01-18,South,Office Supplies,91.59,6.27,2024-01
129,2024-01-18,West,Office Supplies,53.63,9.7,2024-01
130,2024-01-18,South,Office Supplies,157.48,29.1,2024-01
131,2024-01-18,Central,Furniture,264.45,55.12,2024-01
132,2024-01-18,West,Furniture,294.57,71.39,2024-01
133,2024-01-18,West,Technology,331.76,66.42,2024-01
134,2024-01-18,West,Furniture,382.1,76.46,2024-01
135,2024-01-18,South,Furniture,362.61,57.21,2024-01
136,2024-01-19,South,Office Supplies,82.58,5.27,2024-01
137,2024-01-19,South,Furniture,265.8,82.98,2024-01
138,2024-01-19,Central,Furniture,405.94,85.05,2024-01
139,2024-01-19,South,Office Supplies,130.51,16.05,2024-01
140,2024-01-19,Central,Office Supplies,127.72,23.63,2024-01
141,2024-01-19,South,Office Supplies,226.63,46.73,2024-01
142,2024-01-19,West,Furniture,343.71,51.85,2024-01
143,2024-01-19,East,Furniture,324.57,20.76,2024-01
144,2024-01-19,South,Furniture,361.14,50.23,2024-01
145,2024-01-20,South,Office Supplies,197.66,46.71,2024-01
146,2024-01-20,East,Office Supplies,108.71,13.55,2024-01
147,2024-01-20,East,Technology,760.27,139.1,2024-01
148,2024-01-20,East,Office Supplies,128.32,22.17,2024-01
149,2024-01-20,East,Furniture,247.13,37.77,2024-01
150,2024-01-20,Central,Furniture,227.69,58.11,2024-01
151,2024-01-21,Central,Office Supplies,159.3,38.8,2024-01
152,2024-01-21,East,Furniture,313.15,38.69,2024-01
153,2024-01-21,East,Furniture,204.1,41.73,2024-01
154,2024-01-21,Central,Furniture,228.97,36.92,2024-01
155,2024-01-21,Central,Technology,349.46,83.16,2024-01
156,2024-01-21,Central,Furniture,301.9,49.67,2024-01
157,2024-01-21,East,Furniture,278.54,32.71,2024-01
158,2024-01-21,West,Technology,326.82,75.97,2024-01
159,2024-01-21,West,Office Supplies,54.62,11.49,2024-01
160,2024-01-22,East,Furniture,438.58,93.69,2024-01
161,2024-01-22,West,Furniture,137.26,25.4,2024-01
162,2024-01-22,West,Furniture,107.41,22.3,2024-01
163,2024-01-22,Central,Office Supplies,100.3,20.7,2024-01
164,2024-01-22,East,Furniture,391.8,101.29,2024-01
165,2024-01-22,Central,Furniture,236.17,52.03,2024-01
166,2024-01-22,West,Office Supplies,105.38,20.02,2024-01
167,2024-01-22,Central,Furniture,116.65,16.34,2024-01
168,2024-01-22,West,Office Supplies,144.11,13.3,2024-01
169,2024-01-22,West,Office Supplies,124.0,23.43,2024-01
170,2024-01-22,East,Furniture,303.16,31.54,2024-01
171,2024-01-22,East,Office Supplies,49.04,11.25,2024-01
172,2024-01-23,South,Technology,247.71,56.1,2024-01
173,2024-01-23,Central,Office Supplies,64.59,10.9,2024-01
174,2024-01-23,West,Technology,514.34,108.49,2024-01
175,2024-01-23,Central,Office Supplies,100.94,21.36,2024-01
176,2024-01-23,West,Furniture,321.62,60.04,2024-01
177,2024-01-23,East,Office Supplies,138.76,23.5,2024-01
178,2024-01-23,South,Technology,558.07,98.21,2024-01
179,2024-01-24,East,Office Supplies,172.74,23.37,2024-01
180,2024-01-24,East,Furniture,376.61,71.49,2024-01
181,2024-01-24,West,Office Supplies,131.22,29.46,2024-01
182,2024-01-24,East,Furniture,257.2,60.0,2024-01
183,2024-01-24,South,Technology,327.58,82.05,2024-01
184,2024-01-24,West,Office Supplies,101.29,25.59,2024-01
185,2024-01-25,East,Furniture,80.8,9.67,2024-01
186,2024-01-25,Central,Furniture,235.5,32.67,2024-01
187,2024-01-25,South,Technology,723.36,106.19,2024-01
188,2024-01-25,East,Technology,563.39,147.08,2024-01
189,2024-01-25,West,Furniture,204.72,30.72,2024-01
190,2024-01-25,East,Technology,330.56,56.72,2024-01
191,2024-01-26,West,Office Supplies,84.72,15.95,2024-01
192,2024-01-26,South,Furniture,297.56,69.68,2024-01
193,2024-01-26,Central,Furniture,97.0,11.36,2024-01
194,2024-01-26,West,Office Supplies,84.68,15.21,2024-01
195,2024-01-26,East,Office Supplies,10.0,1.36,2024-01
196,2024-01-26,Central,Technology,585.34,72.24,2024-01
197,2024-01-26,Central,Furniture,271.0,52.92,2024-01
198,2024-01-26,Central,Technology,456.79,98.55,2024-01
199,2024-01-26,South,Office Supplies,162.36,41.66,2024-01
200,2024-01-26,Central,Furniture,217.6,30.1,2024-01
201,2024-01-26,Central,Furniture,286.6,57.33,2024-01
202,2024-01-27,Central,Office Supplies,107.07,20.45,2024-01
203,2024-01-27,Central,Office Supplies,116.0,22.5,2024-01
204,2024-01-27,Central,Technology,337.5,64.03,2024-01
205,2024-01-27,West,Office Supplies,125.58,18.21,2024-01
206,2024-01-27,West,Office Supplies,96.53,19.2,2024-01
207,2024-01-27,Central,Furniture,386.98,68.38,2024-01
208,2024-01-28,East,Office Supplies,66.23,14.81,2024-01
209,2024-01-28,South,Furniture,306.89,53.72,2024-01
210,2024-01-28,West,Office Supplies,55.93,8.13,2024-01
211,2024-01-28,South,Office Supplies,109.87,21.71,2024-01
212,2024-01-28,East,Furniture,140.49,35.43,2024-01
213,2024-01-28,South,Office Supplies,134.39,27.26,2024-01
214,2024-01-28,Central,Technology,489.98,120.76,2024-01
215,2024-01-28,East,Furniture,267.2,57.57,2024-01
216,2024-01-28,Central,Office Supplies,91.59,24.73,2024-01
217,2024-01-29,West,Furniture,234.86,34.19,2024-01
218,2024-01-29,West,Office Supplies,162.99,20.43,2024-01
219,2024-01-29,South,Technology,396.62,60.07,2024-01
220,2024-01-29,East,Furniture,460.18,82.31,2024-01
221,2024-01-29,Central,Office Supplies,83.19,15.13,2024-01
222,2024-01-29,West,Furniture,234.34,33.61,2024-01
223,2024-01-30,Central,Office Supplies,122.5,18.09,2024-01
224,2024-01-30,Central,Technology,525.33,111.24,2024-01
225,2024-01-30,West,Technology,584.44,110.97,2024-01
226,2024-01-30,West,Office Supplies,192.91,36.63,2024-01
227,2024-01-30,East,Furniture,193.0,30.07,2024-01
228,2024-01-30,South,Furniture,295.75,44.75,2024-01
229,2024-01-31,East,Furniture,345.47,60.27,2024-01
230,2024-01-31,Central,Office Supplies,41.7,5.63,2024-01
231,2024-01-31,West,Technology,181.35,50.79,2024-01
232,2024-01-31,Central,Office Supplies,51.42,7.78,2024-01
233,2024-01-31,Central,Technology,474.6,55.68,2024-01
234,2024-01-31,Central,Office Supplies,136.87,19.94,2024-01
235,2024-01-31,South,Furniture,278.33,46.04,2024-01
236,2024-01-31,West,Furniture,236.29,55.08,2024-01
237,2024-01-31,West,Office Supplies,71.47,14.0,2024-01
238,2024-01-31,West,Technology,513.02,60.39,2024-01
239,2024-02-01,East,Office Supplies,161.84,25.14,2024-02
240,2024-02-01,West,Furniture,381.32,84.85,2024-02
241,2024-02-01,East,Furniture,221.86,62.97,2024-02
242,2024-02-01,South,Technology,544.24,104.46,2024-02
243,2024-02-01,East,Furniture,243.73,43.42,2024-02
244,2024-02-01,West,Technology,502.57,88.43,2024-02
245,2024-02-02,South,Office Supplies,114.39,26.8,2024-02
246,2024-02-02,West,Office Supplies,83.41,16.7,2024-02
247,2024-02-02,East,Furniture,167.88,35.63,2024-02
248,2024-02-02,Central,Technology,438.72,64.7,2024-02
249,2024-02-02,West,Technology,476.61,63.93,2024-02
250,2024-02-02,South,Technology,395.68,110.86,2024-02
251,2024-02-03,Central,Furniture,337.95,56.57,2024-02
252,2024-02-03,Central,Office Supplies,143.7,28.42,2024-02
253,2024-02-03,West,Furniture,341.61,71.22,2024-02
254,2024-02-03,Central,Technology,580.57,96.91,2024-02
255,2024-02-03,East,Office Supplies,66.32,6.49,2024-02
256,2024-02-03,Central,Office Supplies,54.79,9.03,2024-02
257,2024-02-03,West,Furniture,264.85,38.4,2024-02
258,2024-02-03,Central,Office Supplies,25.54,3.72,2024-02
259,2024-02-03,South,Office Supplies,100.92,18.07,2024-02
260,2024-02-04,East,Furniture,316.41,61.4,2024-02
261,2024-02-04,East,Technology,294.44,48.87,2024-02
262,2024-02-04,West,Furniture,163.5,20.41,2024-02
263,2024-02-04,South,Office Supplies,158.57,16.09,2024-02
264,2024-02-04,Central,Furniture,164.03,27.68,2024-02
265,2024-02-04,East,Office Supplies,124.43,14.1,2024-02
266,2024-02-04,Central,Furniture,110.61,22.35,2024-02
267,2024-02-04,South,Office Supplies,129.4,32.12,2024-02
268,2024-02-04,East,Office Supplies,125.14,25.92,2024-02
269,2024-02-04,South,Technology,301.72,44.31,2024-02
270,2024-02-05,Central,Office Supplies,70.12,13.71,2024-02
271,2024-02-05,Central,Technology,374.06,64.9,2024-02
272,2024-02-05,East,Office Supplies,160.48,46.62,2024-02
273,2024-02-05,East,Office Supplies,116.29,35.93,2024-02
274,2024-02-05,South,Furniture,179.68,47.07,2024-02
275,2024-02-05,West,Office Supplies,143.9,37.62,2024-02
276,2024-02-05,West,Furniture,199.1,25.74,2024-02
277,2024-02-05,East,Office Supplies,121.43,17.18,2024-02
278,2024-02-05,East,Technology,432.73,44.23,2024-02
279,2024-02-05,South,Office Supplies,36.26,7.21,2024-02
280,2024-02-05,West,Office Supplies,190.25,38.23,2024-02
281,2024-02-06,East,Office Supplies,89.11,21.55,2024-02
282,2024-02-06,Central,Technology,247.08,40.56,2024-02
283,2024-02-06,South,Technology,569.83,106.61,2024-02
284,2024-02-06,West,Office Supplies,128.07,21.07,2024-02
285,2024-02-06,East,Technology,499.14,113.72,2024-02
286,2024-02-06,East,Furniture,181.23,20.56,2024-02
287,2024-02-06,East,Technology,142.93,29.36,2024-02
288,2024-02-07,South,Technology,479.58,100.7,2024-02
289,2024-02-07,West,Furniture,146.06,23.71,2024-02
290,2024-02-07,Central,Furniture,254.42,47.96,2024-02
291,2024-02-07,South,Furniture,465.68,76.83,2024-02
292,2024-02-07,Central,Furniture,29.0,5.31,2024-02
293,2024-02-07,East,Office Supplies,141.33,25.82,2024-02
294,2024-02-07,West,Furniture,10.0,1.95,2024-02
295,2024-02-07,East,Office Supplies,142.68,16.53,2024-02
296,2024-02-07,Central,Furniture,189.74,33.56,2024-02
297,2024-02-07,South,Furniture,200.68,32.0,2024-02
298,2024-02-07,East,Furniture,276.46,41.08,2024-02
299,2024-02-07,East,Office Supplies,55.56,12.54,2024-02
300,2024-02-08,South,Office Supplies,95.79,4.83,2024-02
301,2024-02-08,East,Furniture,202.2,40.36,2024-02
302,2024-02-08,West,Furniture,248.66,51.96,2024-02
303,2024-02-08,East,Office Supplies,170.26,29.3,2024-02
304,2024-02-08,East,Office Supplies,101.38,13.76,2024-02
305,2024-02-08,Central,Office Supplies,62.38,6.2,2024-02
306,2024-02-08,West,Technology,306.33,71.07,2024-02
307,2024-02-08,Central,Office Supplies,148.47,23.1,2024-02
308,2024-02-09,West,Furniture,257.76,68.59,2024-02
309,2024-02-09,Central,Furniture,270.73,42.58,2024-02
310,2024-02-09,East,Furniture,179.78,44.04,2024-02
311,2024-02-09,West,Furniture,309.52,73.63,2024-02
312,2024-02-09,East,Furniture,274.72,39.73,2024-02
313,2024-02-09,Central,Furniture,303.12,74.43,2024-02
314,2024-02-09,West,Furniture,274.6,36.72,2024-02
315,2024-02-09,Central,Office Supplies,95.5,17.37,2024-02
316,2024-02-10,West,Office Supplies,206.36,25.76,2024-02
317,2024-02-10,South,Furniture,230.64,38.32,2024-02
318,2024-02-10,South,Office Supplies,156.14,23.55,2024-02
319,2024-02-10,South,Technology,376.6,73.11,2024-02
320,2024-02-10,Central,Office Supplies,140.62,30.48,2024-02
321,2024-02-10,Central,Office Supplies,127.6,14.69,2024-02
322,2024-02-10,South,Technology,455.96,67.22,2024-02
323,2024-02-10,South,Furniture,358.35,64.88,2024-02
324,2024-02-10,Central,Office Supplies,130.11,40.35,2024-02
325,2024-02-10,West,Office Supplies,151.64,30.19,2024-02
326,2024-02-10,Central,Technology,380.62,45.21,2024-02
327,2024-02-10,East,Furniture,231.71,31.85,2024-02
328,2024-02-11,Central,Furniture,181.32,38.52,2024-02
329,2024-02-11,South,Office Supplies,82.73,13.08,2024-02
330,2024-02-11,West,Technology,641.77,102.7,2024-02
331,2024-02-11,South,Office Supplies,60.43,5.56,2024-02
332,2024-02-11,Central,Furniture,116.51,28.33,2024-02
333,2024-02-11,Central,Furniture,201.71,62.11,2024-02
334,2024-02-11,Central,Furniture,384.93,107.9,2024-02
335,2024-02-11,Central,Office Supplies,163.01,34.17,2024-02
336,2024-02-11,West,Technology,285.45,51.33,2024-02
337,2024-02-12,West,Office Supplies,116.53,20.27,2024-02
338,2024-02-12,Central,Office Supplies,76.98,20.99,2024-02
339,2024-02-12,Central,Technology,368.29,48.62,2024-02
340,2024-02-12,South,Office Supplies,199.15,51.21,2024-02
341,2024-02-12,East,Office Supplies,125.92,11.53,2024-02
342,2024-02-12,West,Technology,334.75,33.56,2024-02
343,2024-02-12,South,Technology,471.9,72.37,2024-02
344,2024-02-13,Central,Furniture,162.64,31.73,2024-02
345,2024-02-13,Central,Office Supplies,115.79,19.66,2024-02
346,2024-02-13,West,Furniture,230.18,45.66,2024-02
347,2024-02-13,West,Technology,608.98,101.36,2024-02
348,2024-02-13,East,Office Supplies,18.18,4.08,2024-02
349,2024-02-13,West,Technology,409.38,84.25,2024-02
350,2024-02-13,South,Furniture,113.28,17.39,2024-02
351,2024-02-14,East,Furniture,305.38,48.1,2024-02
352,2024-02-14,Central,Office Supplies,107.59,20.19,2024-02
353,2024-02-14,Central,Office Supplies,116.53,16.14,2024-02
354,2024-02-14,West,Furniture,210.77,59.12,2024-02
355,2024-02-14,West,Office Supplies,90.15,16.56,2024-02
356,2024-02-14,West,Technology,309.39,54.78,2024-02
357,2024-02-14,Central,Furniture,187.96,29.04,2024-02
358,2024-02-14,West,Technology,197.54,36.5,2024-02
359,2024-02-14,South,Technology,349.53,71.85,2024-02
360,2024-02-14,West,Technology,391.45,56.06,2024-02
361,2024-02-15,Central,Office Supplies,169.9,35.14,2024-02
362,2024-02-15,West,Technology,229.32,42.63,2024-02
363,2024-02-15,Central,Technology,516.73,81.96,2024-02
364,2024-02-15,South,Furniture,202.18,31.18,2024-02
365,2024-02-15,South,Office Supplies,111.62,13.6,2024-02
366,2024-02-15,Central,Furniture,266.76,51.23,2024-02
367,2024-02-15,West,Technology,437.11,77.7,2024-02
368,2024-02-15,Central,Office Supplies,70.06,11.72,2024-02
369,2024-02-15,East,Office Supplies,195.3,37.34,2024-02
370,2024-02-15,South,Furniture,179.53,37.67,2024-02
371,2024-02-15,South,Technology,653.1,129.01,2024-02
372,2024-02-16,East,Furniture,215.72,28.88,2024-02
373,2024-02-16,West,Office Supplies,171.12,43.82,2024-02
374,2024-02-16,West,Technology,456.52,81.62,2024-02
375,2024-02-16,Central,Furniture,146.83,35.15,2024-02
376,2024-02-16,Central,Furniture,274.79,45.9,2024-02
377,2024-02-16,East,Technology,521.98,58.83,2024-02
378,2024-02-16,Central,Office Supplies,77.99,11.39,2024-02
379,2024-02-16,East,Furniture,294.97,55.74,2024-02
380,2024-02-16,South,Technology,488.86,115.12,2024-02
381,2024-02-16,West,Technology,494.16,135.89,2024-02
382,2024-02-17,East,Office Supplies,110.68,22.26,2024-02
383,2024-02-17,South,Furniture,267.15,52.32,2024-02
384,2024-02-17,South,Furniture,327.76,50.36,2024-02
385,2024-02-17,West,Technology,447.53,66.11,2024-02
386,2024-02-17,West,Furniture,85.04,14.05,2024-02
387,2024-02-17,Central,Furniture,341.88,46.77,2024-02
388,2024-02-17,East,Technology,459.96,103.47,2024-02
389,2024-02-17,Central,Technology,502.8,74.18,2024-02
390,2024-02-18,East,Furniture,273.2,57.95,2024-02
391,2024-02-18,South,Technology,491.46,154.5,2024-02
392,2024-02-18,West,Furniture,378.98,61.55,2024-02
393,2024-02-18,Central,Technology,694.73,86.39,2024-02
394,2024-02-18,Central,Office Supplies,77.39,16.96,2024-02
395,2024-02-18,West,Furniture,227.55,13.62,2024-02
396,2024-02-18,Central,Technology,607.07,127.82,2024-02
397,2024-02-19,East,Furniture,126.95,22.32,2024-02
398,2024-02-19,Central,Furniture,257.21,27.55,2024-02
399,2024-02-19,East,Furniture,222.94,31.75,2024-02
400,2024-02-19,South,Office Supplies,41.24,7.66,2024-02
401,2024-02-19,South,Office Supplies,128.95,18.36,2024-02
402,2024-02-19,East,Furniture,344.15,62.31,2024-02
403,2024-02-20,West,Technology,420.28,62.73,2024-02
404,2024-02-20,Central,Furniture,177.17,12.32,2024-02
405,2024-02-20,West,Furniture,383.12,59.56,2024-02
406,2024-02-20,East,Furniture,294.79,50.58,2024-02
407,2024-02-20,Central,Office Supplies,169.4,15.81,2024-02
408,2024-02-20,East,Office Supplies,128.68,28.05,2024-02
409,2024-02-20,South,Office Supplies,122.45,17.48,2024-02
410,2024-02-20,East,Furniture,101.5,14.99,2024-02
411,2024-02-20,West,Office Supplies,37.71,8.17,2024-02
412,2024-02-20,Central,Office Supplies,139.78,31.07,2024-02
413,2024-02-21,Central,Office Supplies,78.55,19.96,2024-02
414,2024-02-21,East,Office Supplies,79.5,12.6,2024-02
415,2024-02-21,East,Office Supplies,60.67,14.6,2024-02
416,2024-02-21,East,Office Supplies,166.63,20.13,2024-02
417,2024-02-21,Central,Office Supplies,199.44,31.29,2024-02
418,2024-02-21,East,Office Supplies,120.23,18.78,2024-02
419,2024-02-21,South,Office Supplies,73.88,11.96,2024-02
420,2024-02-21,East,Technology,147.47,23.93,2024-02
421,2024-02-21,South,Furniture,241.82,46.3,2024-02
422,2024-02-21,South,Office Supplies,55.33,5.85,2024-02
423,2024-02-21,West,Office Supplies,127.7,15.45,2024-02
424,2024-02-21,West,Technology,369.32,89.15,2024-02
425,2024-02-21,West,Furniture,139.62,19.09,2024-02
426,2024-02-22,Central,Furniture,209.29,36.56,2024-02
427,2024-02-22,West,Office Supplies,130.66,26.57,2024-02
428,2024-02-22,West,Technology,443.13,71.09,2024-02
429,2024-02-22,East,Technology,487.02,78.66,2024-02
430,2024-02-22,South,Furniture,283.0,50.53,2024-02
431,2024-02-22,West,Technology,151.78,36.9,2024-02
432,2024-02-22,West,Furniture,197.88,49.22,2024-02
433,2024-02-22,West,Office Supplies,164.35,31.42,2024-02
434,2024-02-22,South,Office Supplies,141.89,30.12,2024-02
435,2024-02-22,Central,Technology,372.37,64.21,2024-02
436,2024-02-22,South,Office Supplies,144.93,4.78,2024-02
437,2024-02-22,Central,Technology,397.38,63.81,2024-02
438,2024-02-23,South,Furniture,203.13,45.26,2024-02
439,2024-02-23,East,Office Supplies,141.63,30.56,2024-02
440,2024-02-23,East,Technology,497.59,118.99,2024-02
441,2024-02-23,Central,Technology,292.61,55.77,2024-02
442,2024-02-23,West,Furniture,106.48,10.47,2024-02
443,2024-02-23,East,Furniture,259.34,44.93,2024-02
444,2024-02-23,South,Furniture,252.64,53.16,2024-02
445,2024-02-23,West,Furniture,377.31,67.97,2024-02
446,2024-02-24,East,Furniture,322.58,54.94,2024-02
447,2024-02-24,West,Office Supplies,146.69,17.31,2024-02
448,2024-02-24,South,Office Supplies,177.15,20.29,2024-02
449,2024-02-24,East,Technology,10.0,1.89,2024-02
450,2024-02-25,Central,Furniture,89.58,16.0,2024-02
451,2024-02-25,East,Office Supplies,93.7,16.94,2024-02
452,2024-02-25,West,Office Supplies,83.95,19.83,2024-02
453,2024-02-25,East,Office Supplies,150.6,23.43,2024-02
454,2024-02-25,West,Technology,377.66,85.82,2024-02
455,2024-02-25,South,Office Supplies,117.25,32.72,2024-02
456,2024-02-25,West,Office Supplies,141.93,19.75,2024-02
457,2024-02-25,Central,Technology,252.25,58.75,2024-02
458,2024-02-25,East,Technology,338.66,63.33,2024-02
459,2024-02-25,West,Technology,10.0,1.81,2024-02
460,2024-02-26,South,Technology,487.11,59.94,2024-02
461,2024-02-26,West,Technology,493.87,62.43,2024-02
462,2024-02-26,Central,Furniture,282.94,38.17,2024-02
463,2024-02-26,Central,Furniture,145.93,38.25,2024-02
464,2024-02-26,Central,Furniture,221.25,46.5,2024-02
465,2024-02-26,West,Furniture,253.58,32.94,2024-02
466,2024-02-27,East,Office Supplies,12.38,2.11,2024-02
467,2024-02-27,West,Office Supplies,119.19,19.89,2024-02
468,2024-02-27,South,Office Supplies,70.41,16.6,2024-02
